,Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
133963,Q1141013,Xiao Zhaoye,Southern Qi emperor,Male,Southern Qi,Politician,473,494.0,homicide,21.0
136916,Q1190405,Xiao Zhaowen,Southern Qi emperor (480-494),Male,Southern Qi,Politician,480,494.0,homicide,14.0
151210,Q1336575,Xiao Baojuan,Southern Qi emperor,Male,Southern Qi,Politician,483,501.0,homicide,18.0
128288,Q1071618,Emperor Xiaoming of Northern Wei,Northern Wei emperor,Male,Northern Wei,Politician,510,528.0,homicide,18.0
134322,Q1149222,Emperor Xiaomin of Northern Zhou,Northern Zhou emperor,Male,Northern Zhou,Monarch,542,557.0,homicide,15.0
95407,Q708368,Emperor Fei of Northern Qi,Northern Qi Emperor,Male,Northern Wei; Northern Qi,Politician,545,561.0,homicide,16.0
112228,Q887377,John of Conza,militair uit Byzantijnse Rijk (-617),Male,Byzantine Empire,Military personnel,600,617.0,capital punishment,17.0
603,Q7422,Yang Tong,emperor of the Sui Dynasty,Male,Sui dynasty; Tang Empire,Politician,605,619.0,capital punishment; homicide,14.0
94238,Q701734,Li Chongrun,Chinese prince,Male,Tang Empire,Politician,682,701.0,capital punishment,19.0
28518,Q116977,Basil Onomagoulos,Byzantine official,Male,Byzantine Empire,Politician,700,717.0,capital punishment,17.0
678070,Q11095360,Li Xi,Tang dynasty person CBDB = 189143,,Tang Empire,Military personnel,750,762.0,homicide,12.0
440894,Q5192724,Cui Zhaowei,Chancellor during the reign of Emperor Zhaozong of Tang,Male,Tang Empire,Politician,801,896.0,capital punishment,95.0
637578,Q7979785,Wei Zhaodu,Tang Dynasty chancellor,Male,Tang Empire,Politician,801,895.0,capital punishment; homicide,94.0
569230,Q6539151,Li Xi,chancellor during the reign of Emperor Zhaozong of Tang,Male,Tang Empire,Artist,801,895.0,capital punishment; homicide,94.0
829,Q9776,Emperor Jingzong of Tang,emperor of the Tang Dynasty,Male,Tang Empire,Monarch,809,827.0,homicide,18.0
569173,Q6538680,Li Chengmei,Imperial prince of the Tang Dynasty,Male,Tang Empire,Politician,820,840.0,capital punishment; suicide,20.0
836,Q9892,Emperor Ai of Tang,emperor of the Tang Dynasty,Male,Tang Empire; Later Liang dynasty,Monarch,892,908.0,homicide,16.0
95429,Q708431,Emperor Min of Later Tang,Chinese emperor (914-934),Male,Later Tang Dynasty,Politician,914,934.0,homicide,20.0
96942,Q713108,Emperor Yin of Later Han,Later Han emperor,Male,Later Han dynasty,Artist,931,951.0,homicide,20.0
675888,Q10900291,Liu Ji'en,Northern Han emperor,,Song dynasty; Later Han dynasty; Northern Han,Politician,950,968.0,homicide,18.0
37069,Q192920,Edward the Martyr,King of the English,Male,Kingdom of England,Monarch,962,978.0,homicide,16.0
142967,Q1273086,Ali ibn Hammud al-Nasir,"Caliph of Córdoba, 1016 to 1028",Male,Al-Andalus,Aristocrat,1000,1018.0,homicide,18.0
42695,Q254545,Gunhilda of Denmark,"Danish princess, Queen consort of Germany",Female,North Sea Empire,Sovereign,1020,1038.0,natural causes,18.0
57902,Q362113,William Adelin,Duke of Normandy,Male,Kingdom of England,Politician,1103,1120.0,accident,17.0
70870,Q470636,Philip of France,French king (1116-1131),Male,France,Politician,1116,1131.0,accident,15.0
1049287,Q29444200,Heinrich III von Salm,German aristocrat,Male,Germany,Aristocrat,1155,1246.0,homicide,91.0
2587,Q41849,Alexios II Komnenos,Byzantine emperor,Male,Byzantine Empire,Sovereign,1169,1183.0,homicide,14.0
55628,Q348943,Henry I of Castile,King of Castile,Male,Kingdom of Castile,Ruler,1204,1217.0,accident,13.0
221074,Q1875299,Louis of France,Eldest son of King Louis IX; heir and regent of France,Male,France,Politician,1244,1260.0,natural causes,16.0
115622,Q930358,Alexios Apokaukos,Byzantine politician and military leader,Male,Byzantine Empire,Politician,1250,1345.0,homicide,95.0
89675,Q648617,"John Tristan, Count of Valois",French prince,Male,France,Aristocrat,1250,1270.0,natural causes,20.0
75879,Q518953,Nicolas Béhuchet,French admiral and financier,Male,France,Financier,1250,1340.0,capital punishment,90.0
33846,Q158246,Conradin,"Duke of Swabia, King of Jerusalem and King of Sicily (1252-1268)",Male,Kingdom of Jerusalem,Artist,1252,1268.0,capital punishment,16.0
108420,Q828634,Bertram of St. Genesius,Roman Catholic bishop,Male,France,Religious figure,1258,1350.0,homicide,92.0
755685,Q13815118,Maria Miserabilis,"Brabantse zalige die in de volksdevotie bekendstaat als Lenneke Mare, wat een verbastering zou zijn van Alleyndiger Maria",Female,Duchy of Brabant,Hermit,1270,1290.0,capital punishment,20.0
10122,Q73844,Werner of Oberwesel,German saint,Male,Germany,Artist,1271,1287.0,homicide,16.0
734,Q8549,Gegeen Khan,emperor of the Yuan Dynasty,Male,Yuan dynasty,Sovereign,1302,1323.0,homicide,21.0
55870,Q350330,Eric XII of Sweden,Swedish king (1339–1359),Male,Sweden,Politician,1339,1359.0,natural causes,20.0
519,Q7226,Joan of Arc,French folk heroine and Roman Catholic saint,Female,France,Military personnel,1412,1431.0,capital punishment,19.0
261764,Q2578489,"William Douglas, 6th Earl of Douglas",Scottish nobleman,Male,Kingdom of Scotland,Aristocrat,1424,1440.0,capital punishment,16.0
152805,Q1347628,Oddantonio da Montefeltro,Italian duke,Male,Duchy of Milan,Politician,1428,1444.0,homicide,16.0
28378,Q116382,Ladislaus the Posthumous,"King of Hungary, Bohemia and Croatia, Duke of Austria",Male,Austria,Ruler,1440,1457.0,natural causes,17.0
228703,Q2003349,Antonio Rincon,French diplomat,Male,Spain; France,Politician,1450,1541.0,homicide,91.0
6634,Q65005,Hans Böhm,German mystic,Male,Germany,Artist,1458,1476.0,capital punishment,18.0
34991,Q170470,Edward V of England,king of England (1470-1483),Male,Kingdom of England,Politician,1470,1483.0,homicide,13.0
104934,Q782939,"Afonso, Prince of Portugal",Prince heir apparent,Male,Portugal,Aristocrat,1475,1491.0,accident,16.0
61546,Q381871,"John, Prince of Asturias",Prince of Asturias,Male,Kingdom of Castile; Kingdom of Aragon,Politician,1478,1497.0,natural causes,19.0
134535,Q1153737,Alfonso of Aragon,illegitimate son of Alfonso II King of Naples and his mistress Trogia Gazzela (1481-1500),Male,Kingdom of Naples,Politician,1481,1500.0,homicide,19.0
96535,Q711801,"Arthur, Prince of Wales","Prince of Wales, Earl of Chester and Duke of Cornwall",Male,Kingdom of England,Politician,1486,1502.0,natural causes,16.0
409394,Q4774858,Prince Francis of Denmark,"prince of Denmark, Norway and Sweden, the youngest son of King John of Denmark and Christina of Saxony",Male,Norway; Sweden; Denmark,Aristocrat,1497,1511.0,natural causes,14.0
143080,Q1274375,Kilian Mayer,German farmer,,Germany,Farmer,1500,1513.0,capital punishment,13.0
559734,Q6301217,Juan de Cartagena,Spanish explorer,Male,Crown of Castile,Sailor; nan; explorer,1500,1520.0,missing person,20.0
201466,Q1690681,Joakim Brahe,Swedish politician,Male,Sweden,Politician,1500,1520.0,public execution,20.0
1016898,Q26239685,Gaspar de Quesada,Spanish Marine,Male,Spain,Sailor; explorer,1500,1520.0,capital punishment,20.0
1016897,Q26239684,Luis de Mendoza,itsasgizona,Male,Spain,Sailor; treasurer,1500,1520.0,homicide,20.0
563651,Q6398519,Hattori Kazutada,"Samurai, Daimyo",Male,Japan,Samurai,1505,1595.0,suicide,90.0
33743,Q157092,Louis II of Hungary,"King of Hungary, Croatia and Bohemia (1506-1526)",Male,Hungary; Kingdom of Hungary,Politician,1506,1526.0,accident,20.0
61013,Q378825,Francis III,Duke of Brittany,Male,France,Politician,1518,1536.0,natural causes,18.0
57170,Q358863,"Henry FitzRoy, 1st Duke of Richmond and Somerset",Royal Bastard of Henry VIII (1519-1536),Male,Kingdom of England,Politician,1519,1536.0,natural causes,17.0
104093,Q771810,"Henry Brandon, 1st Earl of Lincoln",English noble,Male,Kingdom of England,Aristocrat,1523,1534.0,natural causes,11.0
36839,Q188926,Katherine Howard,fifth wife of Henry VIII of England,Female,Kingdom of England,Lady-in-waiting; sovereign,1523,1542.0,capital punishment,19.0
160871,Q1396452,"Henry Brandon, 2nd Duke of Suffolk",British Duke,Male,Kingdom of England,Aristocrat,1535,1551.0,natural causes,16.0
13241,Q83229,Edward VI of England,"King of England, Tudor dynasty",Male,Kingdom of England,Artist,1537,1553.0,natural causes,16.0
65495,Q442501,"João Manuel, Prince of Portugal",Portuguese prince,Male,Portugal,Politician,1537,1554.0,natural causes,17.0
34129,Q162356,Lady Jane Grey,English noblewoman and deposed Queen of England,Female,Kingdom of England,Head of state,1537,1554.0,capital punishment,17.0
69350,Q462805,"Charles Brandon, 3rd Duke of Suffolk","English Duke, survived his brother for 30 minutes",Male,Kingdom of England,Aristocrat,1537,1551.0,natural causes,14.0
32440,Q132548,Francis II of France,King of France (1544-1560),Male,France,Politician,1544,1560.0,natural causes,16.0
136832,Q1188704,Matsudaira Nobuyasu,Japanese noble,Male,Japan; Tokugawa Shogunate; Ashikaga shogunate,Samurai,1559,1579.0,suicide,20.0
220236,Q1872079,Louis de Maugiron,French chamberlain (1560-1578),Male,France,Chamberlain,1560,1578.0,homicide,18.0
399360,Q4700562,Akechi Mitsuyoshi,Japanese Samurai,Male,Japan,Samurai,1569,1582.0,suicide,13.0
50948,Q323494,Jean Châtel,French attempted assassin,Male,France,Criminal,1575,1594.0,capital punishment; dismemberment,19.0
473855,Q5515857,Gabriel Spenser,British actor (1578-1598),Male,United Kingdom,Artist,1578,1598.0,homicide,20.0
37998,Q206459,Feodor II of Russia,Tsar of Russia,Male,Tsardom of Russia,Cartographer,1589,1605.0,homicide,16.0
13174,Q82631,"Henry Frederick, Prince of Wales",eldest son and heir apparent of James VI and I,Male,Kingdom of England; Kingdom of Scotland,Politician,1594,1612.0,natural causes,18.0
145405,Q1288571,Gerard Reynst,Dutch colonial governor,Male,Netherlands,Politician,1600,1615.0,natural causes,15.0
35145,Q172056,Osman II,Sultan of the Ottoman Empire,Male,Ottoman Empire,Artist,1604,1622.0,homicide,18.0
426655,Q4979201,Vendela Skytte,Swedish noble,Female,Sweden,Artist,1608,1629.0,natural causes,21.0
87934,Q617665,"Henry Frederick, Hereditary Prince of the Palatinate","eldest son of Frederick V, the Winter King, and his wife, Elizabeth Stuart, daughter of King James I of England",Male,Germany,Politician,1614,1629.0,accident,15.0
350931,Q3741955,Isaac de Porthau,French musketeer,Male,France,Military personnel,1617,1712.0,natural causes,95.0
80651,Q552232,Balthasar Charles,Prince of Asturias,Male,Spain,Politician,1629,1646.0,natural causes,17.0
676332,Q10931961,Xia Wanchun,Ming dynasty person CBDB = 124438,,Ming dynasty,Artist,1631,1647.0,capital punishment,16.0
33747,Q157103,"Ferdinand IV, King of the Romans","King of Bohemia, Hungary, Croatia, and the Romans (1633-1654)",Male,Hungary,Politician,1633,1654.0,natural causes,21.0
62962,Q423360,Ștefăniță Lupu,Prince of Moldova,Male,Principality of Moldavia,Politician,1641,1661.0,natural causes,20.0
245789,Q2297336,"Louis Joseph of Lorraine, Duke of Guise",Duke Of Guise,Male,France,Aristocrat,1650,1671.0,natural causes,21.0
7902,Q68461,"Frederick William III, Duke of Saxe-Altenburg",Last Duke of Saxe-Altenburg,Male,Germany,Aristocrat,1657,1672.0,natural causes,15.0
751428,Q13217635,Bandi,Mongolian general,,Qing dynasty,Politician,1664,1755.0,suicide,91.0
317720,Q3263398,"Louis, Count of Vermandois",French noble,Male,France,Military personnel,1667,1683.0,natural causes,16.0
258526,Q2550280,"Isabel Luísa, Princess of Beira",Portuguese princess,Female,Portugal,Aristocrat,1669,1690.0,natural causes,21.0
332795,Q3428532,Prince Christian of Denmark,Danish prince (1675-1695),Male,Denmark,Aristocrat,1675,1695.0,natural causes,20.0
58822,Q365046,Thomas Aikenhead,"Scottish student, last person in Britain executed for blasphemy",Male,Kingdom of Scotland,Religious figure,1676,1697.0,capital punishment,21.0
1108199,Q55028639,Jean Jacques Dortous de Mayran,"French geophysicist, astronomer and most notably, chronobiologist",Male,France,Researcher,1678,1771.0,natural causes,93.0
313268,Q3185797,Joseph Xaupi,French writer,Male,France,Artist,1688,1778.0,accident,90.0
44616,Q271999,Louisa Maria Teresa Stuart,British princess (1692-1712),Female,Kingdom of Great Britain,Politician,1692,1712.0,natural causes,20.0
46657,Q289039,Anna Leszczyńska,"daughter of Stanislas Leszczynski, king of Poland",Female,Polish–Lithuanian Commonwealth,Aristocrat,1699,1717.0,natural causes,18.0
349584,Q3723212,Élisabeth Charlotte of Lorraine,French princess,Female,France,Aristocrat,1700,1711.0,natural causes,11.0
55262,Q346937,Yakov Permyakov,Russian explorer,Male,Tsardom of Russia,Explorer,1700,1712.0,homicide,12.0
38352,Q212457,Louis I of Spain,King of Spain (1707-1724),Male,Spain,Politician,1707,1724.0,natural causes,17.0
270935,Q2735601,Philippine Élisabeth d'Orléans,French princess,Female,France,Aristocrat,1714,1734.0,natural causes,20.0
33973,Q160227,Peter II of Russia,Emperor of Russia (1715-1730),Male,Russian Empire,Politician,1715,1730.0,natural causes,15.0
915,Q11806,John Adams,2nd president of the United States (1735-1826),Male,United Kingdom,Politician,1735,1826.0,natural causes,91.0
649385,Q8189350,Maeda Shigenobu,daimyo,Male,Japan,Samurai,1735,1753.0,natural causes,18.0
350851,Q3740694,Yuri Vladimirovich Dolgorukov,militair uit Keizerrijk Rusland (1740-1830),Male,Russian Empire,Artist,1740,1830.0,natural causes,90.0
234109,Q2071410,Natalia Zagryazhskaya,Russian nobility,Female,Russian Empire,Lady-in-waiting; salonnière,1747,1837.0,unnatural death,90.0
18543,Q93810,Archduchess Maria Josepha of Austria,Austrian archduchess,Female,Austria,Aristocrat,1751,1767.0,natural causes,16.0
61280,Q380509,Thomas Chatterton,English poet and forger (1752-1770),Male,Kingdom of Great Britain,Artist,1752,1770.0,suicide,18.0
69883,Q465574,Nathan Hale,soldier for the Continental Army during the American Revolutionary War,Male,United States of America,Military personnel,1755,1776.0,capital punishment,21.0
88256,Q626312,Prince Eunjeon,"prince of Joseon, son of Crown Prince Sado (1759-1778)",,Joseon,Politician,1759,1778.0,capital punishment,19.0
112128,Q886727,Mohammad Ali Khan,Shah of the Zand dynasty,Male,Iran,Shah,1760,1779.0,natural causes,19.0
278564,Q2853810,Antoine Claire Thibaudeau,French politician,Male,France,Researcher,1763,1854.0,natural causes,91.0
46731,Q289520,Duchess Frederica of Württemberg,German noble,Female,Germany,Aristocrat,1765,1785.0,natural causes,20.0
278052,Q2849278,Ange Auguste Joseph de Laborde de Boutervilliers,French explorer,Male,France,Explorer,1766,1786.0,accident,20.0
263973,Q2603865,Infanta Mariana Victoria of Portugal,Portuguese infanta,Female,Portugal,Aristocrat,1768,1788.0,natural causes,20.0
565213,Q6481268,Lambert Latham,American revolutionary war hero,Male,United States of America,Military personnel,1768,1781.0,death in battle,13.0
318319,Q3265808,Lucile Grétry,French composer,Female,France,Artist,1772,1790.0,natural causes,18.0
602667,Q7328058,Richard Newton,British artist,Male,Kingdom of Great Britain,Artist,1777,1798.0,natural causes,21.0
19347,Q95978,Christiane Luise Amalie Becker,German actress,Female,Germany,Artist,1778,1797.0,natural causes,19.0
1695,Q26202,Bror Cederström,Swedish baron and military (1780-1877),Male,Sweden,Politician,1780,1877.0,natural causes,97.0
892863,Q18747311,Giovanni Foscolo,ushtarak italian,Male,Republic of Venice,Military personnel,1781,1801.0,suicide,20.0
20014,Q96990,Sophie von Kühn,German noble,Female,Germany,Artist,1782,1797.0,natural causes,15.0
983434,Q22088567,Philip Hamilton,eldest child of Alexander Hamilton,Male,United States of America,Artist,1782,1801.0,homicide,19.0
125138,Q1033974,Nguyễn Quang Toản,Vietnamese emperor,Male,Vietnam,Monarch,1783,1802.0,capital punishment,19.0
40784,Q233471,Grand Duchess Alexandra Pavlovna of Russia,Grand Duchess of Russia,Female,Russian Empire,Aristocrat,1783,1801.0,natural causes,18.0
7182,Q66538,Schinderhannes,German outlaw,Male,Germany,Criminal,1783,1803.0,capital punishment,20.0
577514,Q6780377,Mary Morgan,Welsh murderer,Female,Wales,Domestic worker,1788,1805.0,capital punishment,17.0
593341,Q7172662,Peter Ballantine,American businessman,Male,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland,Businessperson,1791,1883.0,natural causes,92.0
320364,Q3290928,Maria Danilova,Russian ballet dancer (1793-1810),Female,Russian Empire,Ballet dancer; ballerina,1793,1810.0,natural causes,17.0
1204789,Q65617078,José Peregrino,militair uit Brazilië (1798-1817),Male,Brazil,Military personnel,1798,1817.0,capital punishment,19.0
883944,Q18599680,Nikolaos Magganas,"αγωνιστής στην Επανάσταση του 1821, καταγόμενος από το Μεσολόγγι",Male,Ottoman Empire,Military personnel,1800,1821.0,summary execution,21.0
117670,Q949282,Pío Pico,Governor of Alta California (1801-1894),Male,Spanish Empire,Politician,1801,1894.0,natural causes,93.0
80867,Q553307,Kristjan Jaak Peterson,Estonian writer,Male,Russian Empire,Artist,1801,1822.0,natural causes,21.0
304081,Q3158076,"Jacques-Victor Henry, Prince Royal of Haiti","Prince Royal, the heir apparent to the throne of the Kingdom of Haiti",Male,Haiti,Politician,1804,1820.0,homicide,16.0
48841,Q313669,Juan Crisóstomo de Arriaga,Spanish composer,Male,Spain,Artist,1806,1826.0,natural causes,20.0
273966,Q2828109,Aimée Millot,pastora de cabres francesa (1808–1827),,France,Goatherd,1808,1827.0,homicide,19.0
2728,Q43922,Leo XIII,256th Pope of the Catholic Church,Male,Kingdom of Italy,Politician,1810,1903.0,natural causes,93.0
94958,Q706363,Cassius M. Clay,"American planter, politician and ambassador to Russia (1810-1903)",Male,United States of America,Artist,1810,1903.0,natural causes,93.0
279573,Q2865209,Arthur Lumley Davids,English orientalist and linguist,Male,United Kingdom of Great Britain and Ireland,Researcher,1811,1832.0,natural causes,21.0
499,Q7091,Évariste Galois,French mathematician,Male,France,Researcher,1811,1832.0,homicide,21.0
667,Q7723,Napoleon II,Emperor of the French,Male,France,Drawer,1811,1832.0,natural causes,21.0
652124,Q8860780,Emilia Chopin,Polish composer,Female,Russian Empire; Congress Poland,Artist,1812,1827.0,natural causes,15.0
2829,Q44600,Kaspar Hauser,A man with a mysterious history,Male,Germany; Kingdom of Bavaria,Artist,1812,1833.0,suicide; homicide; accident,21.0
583197,Q6913550,Morrill Wyman,American physician,Male,United States of America,Physician,1812,1903.0,natural causes,91.0
68556,Q458286,Sarah Knox Taylor,"daughter of US President Zachary Taylor, wife of the President of the Confederate States of America (1814-1835)",Female,United States of America,First lady,1814,1835.0,natural causes,21.0
23019,Q102870,Harriet Tubman,African-American abolitionist and humanitarian,Female,United States of America,Artist,1820,1913.0,natural causes,93.0
595642,Q7184407,Philip Spencer,United States navy officer,Male,United States of America,Military personnel,1823,1842.0,capital punishment,19.0
89011,Q638962,Simon Bolivar Buckner,Confederate Army general,Male,United States of America,Military personnel,1823,1914.0,natural causes,91.0
604239,Q7341896,Robert Barr Smith,Australian businessperson,Male,Australia; United Kingdom of Great Britain and Ireland,Businessperson,1824,1915.0,natural causes,91.0
47485,Q298997,Levi P. Morton,American politician (1824-1920),Male,United States of America,Politician,1824,1920.0,natural causes,96.0
318950,Q3271923,Léopoldine Hugo,elder daughter of Victor Hugo,Female,France,Novelist,1824,1843.0,accident,19.0
298962,Q3111508,John Torrington,British explorer,Male,United Kingdom of Great Britain and Ireland,Explorer,1825,1846.0,natural causes,21.0
570724,Q6678772,Loran L. Lewis,American lawyer and politician,Male,United States of America,Politician,1825,1916.0,natural causes,91.0
64155,Q434821,Ludwig Minkus,Austrian composer and violinist,Male,Austria,Artist,1826,1917.0,natural causes,91.0
217009,Q1803058,Roberto Ardigò,Italian philosopher (1828-1920),Male,Kingdom of Italy,Politician,1828,1920.0,suicide,92.0
83931,Q577658,Carl Filtsch,"child prodigy, student of Chopin",Male,Austrian Empire,Artist,1830,1845.0,natural causes,15.0
231609,Q2042651,Owen Thomas Edgar,United States Navy sailor,Male,United States of America,Military personnel,1831,1929.0,accident,98.0
252279,Q2425484,Ebenezer Cobb Morley,English sportsman (1831-1924),Male,United Kingdom of Great Britain and Ireland,Athlete,1831,1924.0,natural causes,93.0
42341,Q250754,Álvares de Azevedo,"Brazilian poet, essayist, short story writer and playwright",Male,Empire of Brazil,Artist,1831,1852.0,natural causes,21.0
436641,Q5088222,Chauncey Depew,American politician,Male,United States of America,Politician,1834,1928.0,natural causes,94.0
87623,Q612983,Tokugawa Yoshitsugu,daimyo,Male,Japan,Samurai,1836,1849.0,natural causes,13.0
63814,Q433543,Elise Hensler,Swiss-born actress and singer,Female,Switzerland,Artist,1836,1929.0,natural causes,93.0
343102,Q3594034,Ōkura Kihachirō,Japanese businessman,Male,Japan,Businessperson,1837,1928.0,natural causes,91.0
67377,Q452733,Amaldus Nielsen,Norwegian artist (1838-1932),Male,Norway,Artist,1838,1932.0,natural causes,94.0
115270,Q926898,Casimiro de Abreu,"Brazilian poet, novelist and playwright",Male,Brazil,Artist,1839,1860.0,natural causes,21.0
4327,Q57913,Princess Margaretha of Saxony,German princess (1840-1858),Female,Germany,Politician,1840,1858.0,natural causes,18.0
57413,Q360574,Oliver Wendell Holmes,United States Supreme Court justice (1841-1935),Male,United States of America,Politician,1841,1935.0,natural causes,94.0
529492,Q6128173,James A. Leonard,American chess player,Male,United States of America,Athlete,1841,1862.0,natural causes,21.0
546522,Q6231769,John Emory Andrus,American politician,Male,United States of America,Politician,1841,1934.0,natural causes,93.0
653355,Q9013835,José Fernández Montaña,Spanish priest,Male,Spain,Researcher,1842,1936.0,homicide,94.0
433602,Q5078963,Charles Henry Parkhurst,United States clergyman,Male,United States of America,Autobiographer,1842,1933.0,accident,91.0
81165,Q555394,"Infante João, Duke of Beja",Portuguese infante (1842-1861),Male,Portugal,Politician,1842,1861.0,natural causes,19.0
612524,Q7407399,Sam Davis,Confederate spy,Male,United States of America,Spy,1842,1863.0,capital punishment,21.0
388222,Q4382287,Emil Oskar Nobel,Alfred Nobel's Brother,Male,Sweden,Researcher,1843,1864.0,accident,21.0
574280,Q6756469,Marcellus Jerome Clarke,Confederate captain,Male,United States of America,Military personnel,1844,1865.0,capital punishment,21.0
50404,Q321183,Lewis Powell,American Confederate Army soldier and Lincoln conspirator,Male,United States of America,Military personnel,1844,1865.0,capital punishment,21.0
939749,Q20747023,Henry Hoolulu Pitman,American Civil War soldier,Male,Kingdom of Hawaiʻi,Military personnel,1845,1863.0,natural causes,18.0
788433,Q15972624,John T. Browne,"Mayor of Houston, Texas, 1892-1896",Male,United States of America,Politician,1845,1941.0,natural causes,96.0
288847,Q3018570,David Owen Dodd,American boy hanged as a spy in the American Civil War,Male,United States of America,Spy,1846,1864.0,capital punishment,18.0
241627,Q2187256,Infante Fernando of Portugal,Portuguese infante,Male,Portugal,Aristocrat,1846,1861.0,natural causes,15.0
748084,Q12858648,John Dunn,Australian bushranger,Male,Australia,Bushranger,1846,1866.0,capital punishment,20.0
141359,Q1252827,George Wright,"Major League Baseball player, manager; Cricket player (1847-1937)",Male,United States of America,Athlete,1847,1937.0,natural causes,90.0
459042,Q5365975,Ellis Reynolds Shipp,American physician,Female,United States of America,Artist,1847,1939.0,natural causes,92.0
341007,Q3565921,Walter Willson Cobbett,British amateur musician,Male,United Kingdom; United Kingdom of Great Britain and Ireland,Journalist,1847,1937.0,natural causes,90.0
137564,Q1216057,Clara T. Bracy,English actress (1848-1941),Female,United Kingdom,Artist,1848,1941.0,natural causes,93.0
95287,Q707858,Hong Tianguifu,Young King of Taiping executed by Ling Chi,Male,Taiping Heavenly Kingdom,Politician,1849,1864.0,capital punishment,15.0
76419,Q522676,Jennie Tuttle Hobart,Second Lady of the United States (1849-1941),Female,United States of America,Politician,1849,1941.0,natural causes,92.0
12539,Q78594,Archduchess Mathilda of Austria,Austrian archduchess,Female,Austria,Aristocrat,1849,1867.0,accident,18.0
364613,Q3903682,Pietro Barsanti,militair uit Koninkrijk Italië (1849-1870),Male,Kingdom of Italy,Military personnel,1849,1870.0,capital punishment,21.0
587597,Q7081940,Okeover Longcroft,English cricketer (1850-1871),Male,United Kingdom of Great Britain and Ireland,Athlete,1850,1871.0,natural causes,21.0
295637,Q3090218,Lucy Parsons,American communist anarchist labor organizer (1853-1942),Female,United States of America,Journalist,1851,1942.0,accident,91.0
121599,Q981034,Ivan Hribar,Slovenian politician and banker (1851-1941),Male,Slovenia,Artist,1851,1941.0,suicide,90.0
264665,Q2620193,Petros Duryan,Armenian poet,Male,Ottoman Empire,Artist,1851,1872.0,natural causes,21.0
